dim1,dim2,herb_name
11.479022,-12.692448,矮地茶
9.625708,-13.439543,艾叶
11.231835,-13.209196,安息香
9.6350155,-15.279932,八角茴香
10.219348,-14.26154,八角莲
8.505312,-14.338784,巴豆
8.371974,-9.434344,巴戟天
10.18777,-8.514244,菝葜
9.026511,-10.747262,白扁豆
9.283777,-14.140681,白附子
10.0600815,-7.4116697,白果
11.91465,-12.2713175,白花菜子
14.277475,-11.19705,白花蛇舌草
12.506108,-10.890093,白及
13.724098,-12.903151,白蔹
14.858627,-12.268611,白毛藤
11.479857,-11.187817,白毛夏枯草
12.299817,-7.3967905,白茅根
12.139778,-12.428893,白前
12.474129,-11.877113,白屈菜
9.936606,-11.96966,白芍
8.788646,-11.012131,白术
14.824301,-11.323747,白头翁
13.238904,-10.090824,白薇
13.4399805,-12.801488,白鲜皮
12.41054,-12.259404,白药子
10.87653,-15.204746,白芷
12.702234,-11.500566,百部
12.135381,-7.2568736,百合
10.458261,-8.331856,柏子仁
10.525632,-12.026941,败酱草
8.101134,-14.145148,斑蝥
13.760805,-12.817052,板蓝根
11.560087,-12.64815,半边莲
10.346781,-15.654839,半夏
13.809444,-12.087344,半枝莲
11.736627,-12.857713,薄荷
13.820562,-11.61063,北豆根
14.8356905,-12.0596,北刘寄奴
11.710863,-7.5445294,北沙参
8.945282,-7.7925944,五味子
8.527787,-14.296766,荜茇
9.909584,-15.532693,荜澄茄
11.152123,-8.364936,蓖麻子
11.847849,-11.613356,萹蓄
10.987618,-8.734179,扁豆花
11.082891,-14.926527,槟榔
11.927487,-13.360861,冰片
9.433808,-11.016782,布渣叶
8.8246565,-11.533566,蚕沙
10.610904,-14.766472,苍耳子
9.830327,-13.641413,苍术
7.7998414,-9.299129,草苁蓉
10.100076,-15.665942,草果
8.012872,-13.919475,草乌
11.36914,-12.01305,草乌叶
13.965238,-11.771337,侧柏叶
12.030779,-12.652631,柴胡
13.139709,-8.267964,蝉蜕
14.196785,-12.225753,常山
13.273788,-8.418974,车前草
13.298905,-8.389352,车前子
11.329724,-13.737296,沉香
10.54874,-14.992561,陈皮
10.83651,-11.507585,赤芍
10.816873,-8.887236,赤小豆
10.808659,-12.119515,茺蔚子
11.634082,-11.423395,臭梧桐
13.181306,-8.60434,楮实子
12.887921,-11.4131775,川贝母
11.309816,-10.260048,川槿皮
14.043716,-12.477782,川楝子
13.880417,-12.570603,川木通
10.110313,-8.596398,川牛膝
13.41465,-12.041814,川射干
8.010706,-13.9071665,川乌
9.342674,-14.066962,川芎
7.813262,-9.964115,穿山龙
13.383653,-11.815859,穿心莲
9.658807,-9.813201,垂盆草
15.160855,-11.325263,椿皮
10.460673,-15.514226,葱白
8.225277,-14.38049,大风子
11.097956,-15.444402,大腹皮
15.197012,-11.384977,大黄
9.837505,-10.295759,大蓟
13.733829,-12.850776,大青叶
10.403734,-15.743451,大蒜
11.3501835,-10.7817955,大血藤
8.759258,-10.891109,大枣
10.714795,-15.047873,大皂角
11.101355,-8.809225,玳玳花
10.59804,-11.279761,丹参
12.394594,-12.180539,淡豆豉
9.479066,-13.793623,当归
10.338886,-7.644682,党参
8.8267,-8.650906,刀豆
12.217761,-11.826777,倒扣草
11.887541,-7.1054883,灯心草
9.939864,-9.728167,地耳草
7.5804086,-9.875021,地枫皮
13.136738,-12.753936,地肤子
13.252809,-8.455764,地骨皮
11.078115,-12.567604,地锦草
11.681494,-10.550627,地榆
9.285128,-14.095071,丁公藤
10.141301,-15.604056,丁香
10.142842,-7.5292797,冬虫夏草
9.636252,-9.766526,冬瓜皮
11.154602,-8.013498,冬瓜子
10.164449,-9.867337,冬葵果
10.368769,-15.646364,豆蔻
10.589274,-13.345911,独活
7.8649044,-9.592839,杜仲
7.6365304,-9.794726,杜仲叶
10.386815,-10.154727,断血流
9.697463,-13.5239725,莪术
10.292388,-15.066525,鹅不食草
12.989762,-11.656306,儿茶
13.840305,-12.009522,番泻叶
11.2496605,-8.408849,翻白草
9.353078,-9.7402725,防风
13.486523,-12.109465,防己
8.979668,-8.825947,粉萆薢
8.890897,-8.919764,凤尾草
10.768971,-14.410733,凤仙透骨草
10.464882,-10.226768,凤眼草
10.052842,-14.040629,佛手
10.16195,-7.4946003,茯苓
12.479281,-12.732034,浮萍
9.566662,-8.40577,附子
7.943843,-9.616008,覆盆子
11.068445,-7.3423743,甘草
8.804552,-11.117649,甘松
13.537796,-11.546095,甘遂
8.538664,-14.740248,干姜
8.363251,-14.505954,高良姜
10.295444,-14.676372,藁本
9.282118,-10.64098,葛花
15.17875,-11.3594675,功劳木
9.663512,-9.728008,钩藤
10.059931,-10.888407,枸骨叶
10.078828,-8.615329,枸杞子
11.390219,-12.539197,谷精草
7.8643785,-10.163749,骨碎补
13.541255,-12.502248,瓜蒂
12.297301,-7.63779,瓜蒌
13.410676,-12.673801,关黄柏
12.741629,-12.779164,贯叶金丝桃
11.114587,-11.664318,绵马贯众
10.516144,-15.7328,广藿香
10.32013,-9.12346,广枣
12.558118,-13.085694,鬼箭羽
11.813585,-11.584826,鬼针草
10.068775,-14.854277,桂枝
10.833666,-12.125438,海风藤
12.692663,-8.794371,海金沙
10.831942,-12.906577,海桐皮
13.196507,-10.046654,海藻
