rgb,label
"rgb(2,1,1)",1
"rgb(2,1,1)",2
"rgb(3,1,1)",3
"rgb(3,1,1)",4
"rgb(3,1,1)",5
"rgb(3,2,1)",6
"rgb(4,2,1)",7
"rgb(4,2,1)",8
"rgb(4,2,1)",9
"rgb(4,2,1)",10
"rgb(5,2,1)",11
"rgb(5,2,1)",12
"rgb(5,3,1)",13
"rgb(6,3,1)",14
"rgb(6,3,1)",15
"rgb(6,3,1)",16
"rgb(7,3,1)",17
"rgb(7,4,1)",18
"rgb(7,4,1)",19
"rgb(8,4,1)",20
"rgb(8,5,1)",21
"rgb(8,5,1)",22
"rgb(9,5,1)",23
"rgb(9,6,1)",24
"rgb(9,6,1)",25
"rgb(9,6,1)",26
"rgb(10,7,0)",27
"rgb(10,7,0)",28
"rgb(10,8,0)",29
"rgb(10,9,0)",30
"rgb(10,9,0)",31
"rgb(10,10,0)",32
"rgb(10,11,0)",33
"rgb(10,11,0)",34
"rgb(10,12,1)",35
"rgb(10,13,1)",36
"rgb(10,14,1)",37
"rgb(9,14,1)",38
"rgb(9,15,1)",39
"rgb(8,16,1)",40
"rgb(7,17,1)",41
"rgb(6,18,2)",42
"rgb(6,18,2)",43
"rgb(5,19,3)",44
"rgb(3,20,3)",45
"rgb(2,21,4)",46
"rgb(1,22,5)",47
"rgb(0,22,6)",48
"rgb(0,23,7)",49
"rgb(0,24,8)",50
"rgb(0,25,9)",51
"rgb(0,25,11)",52
"rgb(0,26,12)",53
"rgb(0,27,13)",54
"rgb(0,27,14)",55
"rgb(0,28,15)",56
"rgb(0,28,16)",57
"rgb(0,29,17)",58
"rgb(0,29,18)",59
"rgb(0,30,19)",60
"rgb(0,30,20)",61
"rgb(0,30,21)",62
"rgb(0,31,22)",63
"rgb(0,31,23)",64
