herb,xx,yy,rgb
白扁豆,14.65978527,9.513235092,"rgb(125,84,18)"
白芍,12.38781261,12.18961525,"rgb(0,117,108)"
白术,14.60186291,9.284663199999999,"rgb(120,79,19)"
白头翁,12.64338112,13.05992126,"rgb(49,92,40)"
白芷,13.63412476,8.299510956,"rgb(85,58,18)"
板蓝根,13.01016426,13.12999249,"rgb(49,89,32)"
半夏,14.13132858,8.940090179,"rgb(99,69,16)"
薄荷,12.76311588,8.833387375,"rgb(77,62,16)"
鳖甲,13.38384914,11.74724102,"rgb(0,63,81)"
槟榔,13.91357994,8.2078228,"rgb(88,58,20)"
柴胡,11.97350025,11.42608833,"rgb(31,125,115)"
陈皮,13.79045391,8.903289795,"rgb(91,67,14)"
赤芍,12.58838081,11.93789101,"rgb(0,114,118)"
川贝母,14.49792004,13.26351547,"rgb(154,82,0)"
川芎,13.16576481,9.843824387,"rgb(64,77,16)"
大黄,11.93157768,12.85854244,"rgb(59,98,50)"
丹参,11.8939743,12.2536478,"rgb(35,117,92)"
淡竹叶,15.34887695,12.75925541,"rgb(232,78,60)"
当归,13.54918957,10.00778389,"rgb(60,78,14)"
地骨皮,14.2449913,11.51007557,"rgb(64,67,86)"
地黄,13.90628052,11.626972199999999,"rgb(0,49,75)"
防风,13.784910199999999,9.71850872,"rgb(81,77,7)"
蜂蜜,15.47900105,10.36977673,"rgb(174,121,50)"
茯苓,15.56180668,10.89439106,"rgb(140,147,95)"
甘草,15.78024673,10.75037861,"rgb(161,136,70)"
葛根,14.63266468,10.146245,"rgb(114,101,22)"
厚朴,13.95370102,8.478273392,"rgb(91,61,19)"
胡黄连,12.37334538,12.54133034,"rgb(0,109,83)"
滑石粉,15.29848766,12.22805595,"rgb(162,164,164)"
黄柏,13.08891487,12.24213123,"rgb(0,90,89)"
黄连,12.16651249,13.04343987,"rgb(60,93,41)"
黄芪,14.807009699999998,9.679710388,"rgb(136,90,21)"
黄芩,12.60699272,13.28019238,"rgb(64,86,25)"
僵蚕,12.67381954,9.053496361,"rgb(76,65,16)"
金银花,15.54740524,12.43035698,"rgb(177,149,50)"
荆芥炭,13.20526791,8.999073982,"rgb(81,65,13)"
桔梗,12.31416702,8.987830162,"rgb(74,63,18)"
连翘,13.48907948,13.34911442,"rgb(76,85,3)"
龙胆,12.319377900000001,11.62170887,"rgb(0,124,128)"
麻黄,13.32111835,8.608868599,"rgb(82,61,16)"
马勃,12.74641132,8.714697838,"rgb(77,60,16)"
麦冬,14.0455389,13.17336369,"rgb(88,99,8)"
芒硝,12.54435349,12.6883955,"rgb(0,103,73)"
没药,12.314875599999999,10.13250065,"rgb(58,88,38)"
牡丹皮,11.85710716,11.84524918,"rgb(36,124,108)"
木通,13.2485857,13.35712624,"rgb(71,84,9)"
木香,14.07097149,8.388224602000001,"rgb(92,61,20)"
牛蒡子,13.9044342,12.59880161,"rgb(33,95,94)"
牛膝,13.85041523,11.19984913,"rgb(0,57,64)"
秦艽,12.17142963,10.57996559,"rgb(36,103,68)"
秦皮,12.24399757,11.91478348,"rgb(6,124,121)"
青蒿,12.22982597,11.350082400000002,"rgb(5,124,120)"
人参,15.03063679,9.909865379,"rgb(153,99,29)"
肉桂,13.2063427,10.45853043,"rgb(0,83,41)"
乳香,12.97009754,9.981665611,"rgb(57,80,23)"
桑白皮,15.07508564,12.46360111,"rgb(135,163,156)"
升麻,14.84619427,10.54172897,"rgb(105,121,57)"
石膏,15.10487556,12.33476925,"rgb(160,160,160)"
石斛,14.59592247,12.21552563,"rgb(130,129,129)"
熟地黄,14.07331371,11.033261300000001,"rgb(0,71,69)"
水牛角,12.01557827,12.3051405,"rgb(28,117,94)"
天花粉,14.78331947,12.76857376,"rgb(108,146,79)"
吴茱萸,12.66475773,10.41291618,"rgb(23,93,52)"
西洋参,14.36651325,13.40520668,"rgb(146,74,0)"
香薷,13.20750999,8.808053017,"rgb(81,63,15)"
玄参,14.47839737,12.74432564,"rgb(76,132,113)"
银柴胡,14.35911846,12.00121021,"rgb(98,97,97)"
皂角刺,13.24759388,9.313106537000001,"rgb(79,70,12)"
泽泻,14.94112873,11.88385677,"rgb(149,148,148)"
知母,14.54339314,12.62162018,"rgb(103,132,131)"
栀子,13.56966114,12.92961788,"rgb(12,95,55)"
炙甘草,15.79423523,10.76484489,"rgb(161,136,71)"
猪苓,14.84781837,11.46231842,"rgb(126,125,125)"
