'清瘟败毒饮','石膏','水牛角','黄连','栀子','桔梗','黄芩','知母','赤芍','玄参','连翘','甘草','牡丹皮','淡竹叶','','','',''
'六一散','滑石粉','甘草','','','','','','','','','','','','','','',''
'桂苓甘露饮','滑石粉','茯苓','甘草','白术','泽泻','肉桂','石膏','猪苓','','','','','','','','',''
'左金丸（回令丸）★','黄连','吴茱萸','','','','','','','','','','','','','','',''
'黃连解毒汤★','黄连','栀子','黄芩','黄柏','','','','','','','','','','','','',''
'清胃散★','黄连','地黄','当归','牡丹皮','升麻','','','','','','','','','','','',''
'普济消毒饮★','黄芩','黄连','陈皮','甘草','玄参','柴胡','桔梗','连翘','板蓝根','马勃','牛蒡子','薄荷','僵蚕','升麻','','',''
'犀角地黄汤★','水牛角','地黄','赤芍','','牡丹皮','','','','','','','','','','','',''
'清营汤★','水牛角','地黄','玄参','淡竹叶','麦冬','丹参','黄连','金银花','连翘','','','','','','','',''
'芍药汤★','赤芍','当归','黄连','槟榔','木香','甘草','大黄','黄芩','肉桂','','','','','','','',''
'龙胆泻肝汤★','龙胆','柴胡','泽泻','木通','黄芩','栀子','当归','地黄','甘草','','','','','','','',''
'青蒿鳖甲汤★','青蒿','鳖甲','地黄','知母','牡丹皮','','','','','','','','','','','',''
'白头翁汤★','白头翁','黄柏','黄连','秦皮','','','','','','','','','','','','',''
'导赤散★','木通','地黄','甘草','淡竹叶','','','','','','','','','','','','',''
'凉膈散★','连翘','大黄','芒硝','甘草','栀子','薄荷','黄芩','淡竹叶','蜂蜜','','','','','','','',''
'清暑益气汤','西洋参','石斛','麦冬','黄连','淡竹叶','知母','甘草','','','','','','','','','',''
'泻白散★','桑白皮','地骨皮','炙甘草','','','','','','','','','','','','','',''
'仙方活命饮★','金银花','白芷','川贝母','防风','赤芍','当归','甘草','皂角刺','天花粉','乳香','没药','陈皮','','','','',''
'清骨散★','银柴胡','胡黄连','秦艽','鳖甲','地骨皮','青蒿','知母','甘草','','','','','','','','',''
'葛根黄芩黄连汤★','葛根','炙甘草','黄芩','黄连','','','','','','','','','','','','',''
'当归六黄汤★','当归','地黄','熟地黃','黄芩','黄连','黄柏','黄芪','','','','','','','','','',''
'香薷散','香薷','白扁豆','厚朴','','','','','','','','','','','','','',''
'防风通圣散★','麻黄','荆芥炭','防风','薄荷','大黄','芒硝','滑石粉','栀子','连翘','川芎','当归','白芍','白术','石膏','黄芩','桔梗','甘草'
