Pinyin Name,Name,symp1,symp2,sqww1,sqww2
bai shu,白术,35.480033,38.6662295,35.1185577,-26.9963187
dang shen,党参,74.721928,-1.769608,4.4040144,-55.4831255
gan cao,甘草or炙甘草,-55.421431,-12.841886,-4.5556168,10.6130101
huang jing,黄精,57.118866,8.2703845,10.6491395,-39.4802188
huang qi,黄芪,-74.872374,19.392336,4.3569968,56.1513306
shan yao,山药,-44.521834,-22.0111858,18.2040123,18.1367587
tai zi shen,太子参,53.742617,18.1651964,18.2307532,-36.8919575
bai shao,白芍,-21.69106,-43.573883,-36.0441087,32.5370643
dang gui,当归,23.192544,-58.3580617,-43.2295002,-19.2946771
shu di huang,熟地黄,44.721379,-60.6381379,-25.42868,-32.766565
sheng di huang,生地黄,51.903587,-59.2800168,-28.6983944,-28.397634
tu si zi,菟丝子,43.092766,-35.0331368,-42.1322849,-41.7638651
yin yang huo,淫羊藿,-18.486782,-33.3228732,-27.8501975,29.2537979
mo han lian,墨旱莲,51.30518,-46.5221292,-31.9466,-39.7234213
nv zhen zi,女贞子,42.8683,-47.7844926,-35.9420063,-34.7170129
sang ji sheng,桑寄生,-27.100166,32.2251077,-14.1692785,30.6844696
bai hua she she cao,白花蛇舌草,61.032692,44.1174391,41.2628831,-39.5199599
bai mao gen,白茅根,-27.166439,-0.3359969,-6.4007589,22.8049794
bai xian p,白鲜皮,44.328193,14.8576451,21.9053765,-43.3661837
ban lan gen,板蓝根,-10.134001,-11.4396603,10.3891024,6.0815632
yi yi ren,薏苡仁,45.466307,27.4547858,28.3450892,-37.0576213
che qian zi,车前子,-51.268569,-3.8462875,0.9079965,15.8721577
chen pi,陈皮,41.897654,48.7025427,28.6531464,-20.9135724
chi shao,赤芍,-49.037771,18.2001797,2.3573071,37.90261
da huang,大黄,-72.997797,-21.9841393,-13.2947042,58.8983448
dan shen,丹参,-69.797013,3.136057,-11.8470009,44.8379515
fu ling,茯苓,-46.831282,51.3565595,28.9157856,29.5025717
di fu zi,地肤子,-38.355456,0.5806439,1.7322887,24.6145171
yu xing cao,鱼腥草,-29.225099,-18.6691693,-7.9219049,2.1425158
huang qin,黄芩,77.156624,10.8582067,13.7700522,-57.4099291
ji xue cao,积雪草,36.769517,20.7498179,28.7204025,-45.2496995
jin yin huang,金银花,-1.971608,-16.4762997,10.9368797,-0.8943172
ju hua,菊花,-30.315481,-48.1423275,-40.1825543,26.4311664
mai ya,麦芽,-38.085626,24.684426,7.9234912,30.4519406
niu xi,牛膝,5.402045,2.8424246,-37.5752395,40.8937121
qian cao,茜草,-36.136981,9.0174704,-2.3471969,30.1909002
san qi,三七,-26.236324,16.4352702,-18.9049341,17.2915347
sha ren,砂仁,46.102002,38.2431981,27.8760258,-29.2410311
sheng shan zhu yu,生山茱萸,31.976932,-50.2973695,-40.596844,-27.7737649
shi wei,石韦,-16.108783,6.5398169,22.2964192,47.5993881
tao ren,桃仁,-54.782675,27.6758658,10.1064063,40.9072248
suan zao ren,酸枣仁,59.094104,27.3602891,15.7917958,-29.1604563
tu fu ling,土茯苓,-43.509609,40.161026,20.0661349,31.326471
xian he cao,仙鹤草,-39.459107,-9.5558553,10.4516094,21.9410102
xiao ji,小蓟,30.230818,15.2250646,33.3653037,-49.5416596
yan hu suo,延胡索,-47.566909,8.1548164,-5.6591892,37.6667106
ze lan,泽兰,-59.659775,10.214231,-1.8910305,46.4600822
zhi mu,知母,73.135862,18.5954856,19.8810545,-55.5507926
