,白扁豆,白芍,白术,白头翁,白芷,板蓝根,半夏,薄荷,鳖甲,槟榔,柴胡,陈皮,赤芍,川贝母,川芎,大黄,丹参,淡竹叶,当归,地骨皮,地黄,防风,蜂蜜,茯苓,甘草,葛根,厚朴,胡黄连,滑石粉,黄柏,黄连,黄芪,黄芩,僵蚕,金银花,荆芥炭,桔梗,连翘,龙胆,麻黄,马勃,麦冬,芒硝,没药,牡丹皮,木通,木香,牛蒡子,牛膝,秦艽,秦皮,青蒿,人参,肉桂,乳香,桑白皮,升麻,石膏,石斛,熟地黄,水牛角,天花粉,吴茱萸,西洋参,香薷,玄参,银柴胡,皂角刺,泽泻,知母,栀子,炙甘草,猪苓
白扁豆,0,3.511,0.236,4.08,1.589,3.975,0.78,2.015,2.573,1.504,3.298,1.062,3.189,3.754,1.53,4.317,3.894,3.318,1.216,2.039,2.244,0.899,1.185,1.65,1.669,0.634,1.253,3.794,2.789,3.149,4.322,0.222,4.29,2.038,3.049,1.543,2.404,4.011,3.15,1.616,2.073,3.711,3.815,2.425,3.646,4.095,1.27,3.177,1.871,2.707,3.406,3.046,0.543,1.734,1.753,2.979,1.045,2.856,2.703,1.629,3.845,3.258,2.189,3.903,1.614,3.236,2.506,1.426,2.387,3.111,3.586,1.689,1.958
白芍,3.511,0,3.653,0.907,4.085,1.128,3.688,3.377,1.09,4.264,0.869,3.573,0.322,2.368,2.471,0.81,0.498,3.015,2.472,1.978,1.619,2.839,3.587,3.428,3.685,3.036,4.028,0.352,2.911,0.703,0.882,3.486,1.112,3.149,3.169,3.294,3.203,1.599,0.572,3.7,3.493,1.928,0.523,2.058,0.633,1.451,4.157,1.571,1.766,1.624,0.31,0.854,3.49,1.915,2.283,2.701,2.96,2.721,2.208,2.044,0.39,2.464,1.798,2.322,3.479,2.163,1.98,3.002,2.572,2.198,1.394,3.692,2.565
白术,0.236,3.653,0,4.253,1.381,4.162,0.583,1.893,2.747,1.278,3.39,0.897,3.331,3.98,1.541,4.461,4.018,3.554,1.277,2.254,2.443,0.925,1.395,1.874,1.881,0.862,1.035,3.946,3.025,3.322,4.479,0.445,4.466,1.942,3.285,1.425,2.307,4.214,3.267,1.448,1.941,3.928,3.977,2.439,3.754,4.291,1.042,3.387,2.057,2.754,3.532,3.145,0.758,1.824,1.774,3.214,1.281,3.091,2.931,1.827,3.976,3.489,2.242,4.127,1.474,3.462,2.727,1.355,2.621,3.337,3.788,1.901,2.192
白头翁,4.08,0.907,4.253,0,4.862,0.373,4.38,4.228,1.507,5.016,1.766,4.312,1.123,1.866,3.258,0.74,1.101,2.722,3.184,2.229,1.91,3.531,3.909,3.634,3.895,3.528,4.765,0.585,2.782,0.931,0.477,4.013,0.223,4.007,2.971,4.1,4.085,0.894,1.474,4.502,4.346,1.407,0.384,2.946,1.447,0.674,4.885,1.343,2.217,2.524,1.213,1.759,3.952,2.662,3.096,2.504,3.346,2.566,2.127,2.48,0.982,2.16,2.647,1.757,4.289,1.862,2.016,3.795,2.581,1.95,0.935,3.898,2.722
白芷,1.589,4.085,1.381,4.862,0,4.871,0.811,1.022,3.457,0.294,3.54,0.624,3.786,5.039,1.614,4.867,4.32,4.778,1.71,3.268,3.339,1.427,2.773,3.233,3.258,2.099,0.366,4.425,4.267,3.98,4.966,1.811,5.085,1.221,4.552,0.821,1.489,5.052,3.573,0.44,0.98,4.891,4.522,2.258,3.966,5.072,0.446,4.308,2.908,2.709,3.873,3.358,2.132,2.201,1.808,4.406,2.549,4.295,4.032,2.769,4.32,4.614,2.325,5.158,0.664,4.524,3.772,1.085,3.815,4.417,4.631,3.278,3.388
板蓝根,3.975,1.128,4.162,0.373,4.871,0,4.337,4.304,1.432,5.004,1.994,4.298,1.265,1.494,3.29,1.112,1.419,2.368,3.168,2.037,1.75,3.498,3.703,3.392,3.652,3.396,4.746,0.867,2.46,0.891,0.848,3.89,0.43,4.09,2.632,4.136,4.2,0.527,1.659,4.532,4.423,1.036,0.642,3.077,1.726,0.329,4.859,1.04,2.105,2.684,1.437,1.943,3.802,2.679,3.149,2.17,3.173,2.241,1.831,2.351,1.292,1.81,2.739,1.384,4.326,1.518,1.759,3.824,2.298,1.615,0.594,3.653,2.482
半夏,0.78,3.688,0.583,4.38,0.811,4.337,0,1.372,2.905,0.764,3.292,0.343,3.372,4.339,1.323,4.494,3.998,4.009,1.216,2.572,2.696,0.852,1.965,2.422,2.449,1.306,0.495,4.007,3.489,3.463,4.55,1.002,4.6,1.462,3.767,0.928,1.818,4.456,3.236,0.875,1.403,4.234,4.07,2.173,3.689,4.504,0.555,3.666,2.277,2.555,3.523,3.07,1.323,1.778,1.56,3.648,1.754,3.532,3.308,2.094,3.975,3.884,2.078,4.471,0.933,3.82,3.07,0.959,3.053,3.705,4.029,2.469,2.622
薄荷,2.015,3.377,1.893,4.228,1.022,4.304,1.372,0,2.979,1.31,2.71,1.03,3.109,4.758,1.088,4.11,3.529,4.701,1.413,3.06,3.018,1.352,3.12,3.476,3.575,2.284,1.242,3.728,4.237,3.424,4.252,2.212,4.45,0.238,4.549,0.472,0.475,4.574,2.823,0.601,0.12,4.525,3.861,1.374,3.145,4.55,1.382,3.935,2.604,1.844,3.125,2.573,2.51,1.684,1.167,4.304,2.694,4.212,3.847,2.56,3.551,4.423,1.583,4.845,0.445,4.271,3.547,0.682,3.748,4.186,4.175,3.594,3.355
鳖甲,2.573,1.09,2.747,1.507,3.457,1.432,2.905,2.979,0,3.579,1.446,2.873,0.818,1.882,1.916,1.829,1.574,2.21,1.747,0.893,0.536,2.068,2.507,2.339,2.595,2.03,3.318,1.285,1.974,0.576,1.778,2.51,1.719,2.786,2.269,2.754,2.959,1.605,1.072,3.139,3.099,1.572,1.261,1.937,1.53,1.616,3.429,0.998,0.719,1.683,1.152,1.22,2.467,1.301,1.813,1.837,1.895,1.819,1.299,0.993,1.478,1.733,1.516,1.927,2.944,1.481,1.008,2.438,1.563,1.452,1.197,2.603,1.491
槟榔,1.504,4.264,1.278,5.016,0.294,5.004,0.764,1.31,3.579,0,3.758,0.706,3.958,5.089,1.799,5.055,4.522,4.772,1.836,3.319,3.419,1.516,2.669,3.152,3.154,2.068,0.273,4.599,4.252,4.118,5.142,1.722,5.238,1.501,4.528,1.062,1.779,5.159,3.768,0.715,1.272,4.967,4.685,2.502,4.179,5.192,0.239,4.391,2.993,2.943,4.066,3.565,2.036,2.359,2.009,4.411,2.513,4.295,4.065,2.83,4.516,4.643,2.534,5.217,0.927,4.572,3.819,1.29,3.817,4.459,4.734,3.174,3.386
