,人参,白术,茯苓,甘草,薏苡仁,桔梗,白扁豆,山药,大枣,黄芪,炙甘草,当归,陈皮,升麻,柴胡,防风,麦冬,五味子,白芍,车前子,苍术,熟地黄,生姜,桂枝,阿胶,火麻仁,泽泻,牡丹皮,枸杞子,菟丝子,鹿角胶,牛膝,黄柏,知母,北沙参,川楝子,山茱萸,附子,肉桂,杜仲,肉苁蓉,巴戟天,石斛,薄荷,莲子,砂仁,荆芥炭,地黄,龟甲胶,龟甲,石菖蒲,何首乌,补骨脂,龙眼肉,酸枣仁,木香,远志
人参,0,0.661,1.483,1.848,1.301,1.892,0.723,1.729,0.866,0.384,1.593,1.085,1.308,2.579,2.422,1.143,3.049,0.535,4.169,3.193,1.424,3.449,1.069,0.593,2.644,2.055,3.554,3.871,2.481,2.016,3.312,2.925,3.899,3.267,2.978,3.975,3.562,1.451,1.864,3.166,3.435,2.877,3.207,2.19,1.652,1.346,2.068,3.483,3.732,3.647,0.823,3.749,1.409,0.663,2.881,1.298,0.842
白术,0.661,0,2.06,2.287,1.625,2.238,0.946,2.257,1.309,0.874,2.012,1.742,1.383,3.176,2.798,1.753,3.69,1.112,4.829,3.849,1.135,3.976,0.946,1.22,3.295,2.472,4.215,4.52,3.102,2.651,3.88,3.545,4.56,3.922,3.627,4.636,4.1,2.112,2.518,3.731,4.028,3.432,3.868,2.612,2.253,0.929,2.532,4.129,4.352,4.286,0.705,4.319,1.276,1.301,3.507,0.988,1.067
茯苓,1.483,2.06,0,0.702,0.918,2.624,1.272,0.338,0.823,1.186,0.662,1.025,2.558,1.117,2.979,1.409,1.721,1.472,3.133,2.343,2.876,3.389,2.487,1.31,1.948,0.897,2.484,3.055,2.098,1.643,3.094,2.472,2.79,2.038,1.702,2.928,3.447,0.809,1.324,2.981,3.075,2.781,2.117,2.678,0.228,2.827,2.47,2.732,3.174,2.957,2.272,3.469,2.795,0.85,2.381,2.762,2.086
甘草,1.848,2.287,0.702,0,0.713,3.276,1.356,0.409,0.994,1.477,0.277,1.695,3.076,1.26,3.66,2.073,2.024,2.005,3.577,2.906,3.27,4.082,2.914,1.867,2.579,0.217,2.938,3.603,2.78,2.337,3.776,3.134,3.205,2.41,2.063,3.374,4.135,1.511,2.014,3.667,3.739,3.477,2.582,3.362,0.824,3.161,3.159,3.312,3.797,3.549,2.671,4.138,3.248,1.35,3.037,3.14,2.591
薏苡仁,1.301,1.625,0.918,0.713,0,2.999,0.679,0.876,0.473,0.917,0.444,1.567,2.6,1.878,3.458,1.89,2.584,1.61,4.048,3.254,2.678,4.135,2.357,1.516,2.829,0.866,3.399,3.968,2.907,2.422,3.884,3.313,3.699,2.931,2.588,3.843,4.212,1.579,2.132,3.758,3.905,3.524,3.033,3.179,1.14,2.533,3.001,3.635,4.051,3.854,2.101,4.284,2.704,1.022,3.23,2.54,2.121
桔梗,1.892,2.238,2.624,3.276,2.999,0,2.584,2.962,2.529,2.184,3.107,1.601,1.03,3.33,0.562,1.217,3.361,1.415,3.733,2.723,1.756,1.941,1.502,1.485,2.195,3.489,3.298,3.174,1.724,1.593,2.006,2.036,3.63,3.343,3.213,3.593,2.089,1.938,1.78,1.863,2.263,1.563,3.075,0.46,2.635,2.008,0.542,2.793,2.728,2.834,1.614,2.415,1.431,1.985,2.069,1.792,1.172
白扁豆,0.723,0.946,1.272,1.356,0.679,2.584,0,1.389,0.449,0.406,1.079,1.431,2.021,2.371,3.095,1.648,2.988,1.174,4.316,3.42,2.017,3.988,1.721,1.146,2.923,1.532,3.674,4.129,2.879,2.388,3.797,3.314,4,3.283,2.957,4.114,4.086,1.633,2.156,3.658,3.873,3.39,3.31,2.843,1.493,1.858,2.696,3.763,4.1,3.958,1.46,4.222,2.071,0.819,3.249,1.876,1.564
山药,1.729,2.257,0.338,0.409,0.876,2.962,1.389,0,0.958,1.395,0.487,1.363,2.867,1.006,3.316,1.747,1.715,1.78,3.222,2.512,3.145,3.68,2.766,1.625,2.171,0.578,2.577,3.214,2.373,1.937,3.369,2.725,2.86,2.076,1.731,3.018,3.73,1.126,1.612,3.262,3.33,3.077,2.216,3.014,0.416,3.073,2.805,2.914,3.391,3.149,2.539,3.73,3.084,1.138,2.628,3.024,2.389
大枣,0.866,1.309,0.823,0.994,0.473,2.529,0.449,0.958,0,0.486,0.731,1.154,2.144,1.925,2.997,1.448,2.54,1.138,3.893,3.024,2.279,3.74,1.934,1.045,2.55,1.195,3.247,3.737,2.56,2.069,3.515,2.984,3.569,2.841,2.512,3.69,3.827,1.262,1.806,3.382,3.562,3.132,2.882,2.722,1.045,2.166,2.55,3.382,3.752,3.586,1.685,3.928,2.275,0.568,2.911,2.147,1.661
黄芪,0.384,0.874,1.186,1.477,0.917,2.184,0.406,1.395,0.486,0,1.217,1.075,1.685,2.302,2.69,1.255,2.839,0.771,4.069,3.134,1.793,3.597,1.45,0.741,2.612,1.68,3.437,3.833,2.525,2.039,3.42,2.965,3.774,3.095,2.787,3.87,3.699,1.345,1.833,3.278,3.51,3.005,3.079,2.437,1.381,1.688,2.29,3.457,3.761,3.64,1.2,3.849,1.793,0.495,2.907,1.662,1.211
炙甘草,1.593,2.012,0.662,0.277,0.444,3.107,1.079,0.487,0.731,1.217,0,1.56,2.845,1.461,3.519,1.926,2.196,1.791,3.709,2.978,3.01,4.036,2.662,1.663,2.606,0.464,3.063,3.686,2.756,2.293,3.751,3.134,3.347,2.563,2.216,3.505,4.099,1.447,1.98,3.635,3.737,3.426,2.701,3.226,0.845,2.893,3.03,3.375,3.832,3.605,2.415,4.13,2.999,1.142,3.043,2.878,2.36
当归,1.085,1.742,1.025,1.695,1.567,1.601,1.431,1.363,1.154,1.075,1.56,0,1.685,1.838,1.966,0.384,2.109,0.714,3.091,2.108,2.177,2.587,1.766,0.553,1.561,1.904,2.487,2.788,1.451,0.964,2.371,1.89,2.836,2.259,2.008,2.9,2.675,0.447,0.78,2.235,2.442,1.979,2.152,1.669,1.042,2.226,1.47,2.403,2.686,2.576,1.622,2.792,2.007,0.615,1.832,2.097,1.273
陈皮,1.308,1.383,2.558,3.076,2.6,1.03,2.021,2.867,2.144,1.685,2.845,1.685,0,3.516,1.571,1.402,3.766,1.087,4.474,3.442,0.733,2.96,0.495,1.248,2.872,3.291,3.954,3.996,2.493,2.19,2.984,2.881,4.302,3.856,3.647,4.309,3.105,2.128,2.238,2.837,3.213,2.528,3.668,1.482,2.655,0.978,1.498,3.6,3.641,3.687,0.682,3.409,0.423,1.734,2.886,0.761,0.485
升麻,2.579,3.176,1.117,1.26,1.878,3.33,2.371,1.006,1.925,2.302,1.461,1.838,3.516,0,3.542,2.178,0.787,2.467,2.387,1.914,3.93,3.483,3.527,2.294,1.795,1.273,1.778,2.541,2.187,1.906,3.107,2.403,1.999,1.199,0.866,2.191,3.492,1.417,1.612,3.036,2.975,2.939,1.455,3.241,0.927,3.91,3.018,2.329,2.888,2.578,3.333,3.382,3.808,1.922,2.291,3.826,3.076
